s,kx,ky,b1,b2,b3,b4,b5,b6
0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.3402399130,0.4074324069,0.4074324069,0.4610923088,0.6163723930
0.0312500000,0.0312500000,0.0000000000,0.0125102635,0.3393762873,0.4074957115,0.4079533742,0.4614326700,0.6159356982
0.0625000000,0.0625000000,0.0000000000,0.0249996344,0.3368714023,0.4076841857,0.4094395997,0.4624403416,0.6146723715
0.0937500000,0.0937500000,0.0000000000,0.0374463973,0.3329413889,0.4079935247,0.4117030162,0.4640745738,0.6127068642
0.1250000000,0.1250000000,0.0000000000,0.0498270848,0.3278478861,0.4084166030,0.4145287283,0.4662660757,0.6102052375
0.1562500000,0.1562500000,0.0000000000,0.0621153116,0.3218343791,0.4089435556,0.4177375808,0.4689157576,0.6073402420
0.1875000000,0.1875000000,0.0000000000,0.0742801833,0.3151025444,0.4095619064,0.4212072709,0.4718935060,0.5989866303
0.2187500000,0.2187500000,0.0000000000,0.0862839814,0.3078146321,0.4102567586,0.4248665777,0.4750360660,0.5894943943
0.2500000000,0.2500000000,0.0000000000,0.0980786258,0.3001061809,0.4110110637,0.4286799255,0.4781427325,0.5806139154
0.2812500000,0.2812500000,0.0000000000,0.1096000449,0.2921016429,0.4118059904,0.4326315459,0.4809693165,0.5725888745
0.3125000000,0.3125000000,0.0000000000,0.1207589229,0.2839317842,0.4126214084,0.4367121568,0.4832267639,0.5656870463
0.3437500000,0.3437500000,0.0000000000,0.1314251334,0.2757552465,0.4134365029,0.4409075824,0.4846021066,0.5601899509
0.3750000000,0.3750000000,0.0000000000,0.1414014393,0.2677890791,0.4142305197,0.4451863895,0.4848281273,0.5563307821
0.4062500000,0.4062500000,0.0000000000,0.1503808072,0.2603543470,0.4149836266,0.4494798299,0.4838060422,0.5541839290
0.4375000000,0.4375000000,0.0000000000,0.1578876233,0.2539368958,0.4156778545,0.4536362633,0.4817282470,0.5535774299
0.4687500000,0.4687500000,0.0000000000,0.1632390566,0.2492272883,0.4162980574,0.4572978650,0.4791686097,0.5541155156
0.5000000000,0.5000000000,0.0000000000,0.1656537439,0.2470129175,0.4168328083,0.4596135885,0.4772499421,0.5552960619
0.5312500000,0.5000000000,0.0312500000,0.1662061020,0.2471304051,0.4159174658,0.4606237003,0.4762047457,0.5552900030
0.5625000000,0.5000000000,0.0625000000,0.1678477125,0.2474802283,0.4134086946,0.4633622590,0.4732094917,0.5552914863
0.5937500000,0.5000000000,0.0937500000,0.1705333236,0.2480544357,0.4098081453,0.4661016684,0.4697208464,0.5553465981
0.6250000000,0.5000000000,0.1250000000,0.1741909875,0.2488396642,0.4055784198,0.4611603635,0.4732711747,0.5555032466
0.6562500000,0.5000000000,0.1562500000,0.1787262296,0.2498169778,0.4010452325,0.4536426531,0.4787642278,0.5557962793
0.6875000000,0.5000000000,0.1875000000,0.1840261620,0.2509616550,0.3964233523,0.4451456353,0.4847027440,0.5562468587
0.7187500000,0.5000000000,0.2187500000,0.1899624263,0.2522429509,0.3918595014,0.4360169852,0.4908729472,0.5568688726
0.7500000000,0.5000000000,0.2500000000,0.1963920435,0.2536238895,0.3874625984,0.4265163439,0.4971542457,0.5576761301
0.7812500000,0.5000000000,0.2812500000,0.2031554590,0.2550611874,0.3833217382,0.4168746101,0.5034507722,0.5586883255
0.8125000000,0.5000000000,0.3125000000,0.2100712431,0.2565054796,0.3795163790,0.4073165375,0.5096697574,0.5599358183
0.8437500000,0.5000000000,0.3437500000,0.2169271581,0.2579021183,0.3761218796,0.3980797289,0.5157085492,0.5614630291
0.8750000000,0.5000000000,0.3750000000,0.2234680895,0.2591929381,0.3732121547,0.3894329564,0.5214456438,0.5633280023
0.9062500000,0.5000000000,0.4062500000,0.2293836720,0.2603195215,0.3708605929,0.3816914262,0.5267377960,0.5655905987
0.9375000000,0.5000000000,0.4375000000,0.2343039023,0.2612284981,0.3691405319,0.3752200947,0.5314289771,0.5682724843
0.9687500000,0.5000000000,0.4687500000,0.2378199590,0.2618786076,0.3681252359,0.3704089450,0.5353737947,0.5712588085
1.0000000000,0.5000000000,0.5000000000,0.2395521915,0.2622463490,0.3674332167,0.3680561280,0.5384606947,0.5741055350
1.0441941738,0.4687500000,0.4687500000,0.2359686190,0.2617556016,0.3683634085,0.3730736015,0.5328019591,0.5670711538
1.0883883476,0.4375000000,0.4375000000,0.2282227682,0.2620500959,0.3692279691,0.3828674402,0.5266800140,0.5587848189
1.1325825215,0.4062500000,0.4062500000,0.2170684759,0.2637820792,0.3706284625,0.3952242634,0.5204030319,0.5504444978
1.1767766953,0.3750000000,0.3750000000,0.2036376705,0.2668709998,0.3725354161,0.4087637950,0.5141267730,0.5425196868
1.2209708691,0.3437500000,0.3437500000,0.1887779094,0.2711061554,0.3749109236,0.4222715980,0.5079354582,0.5356011101
1.2651650429,0.3125000000,0.3125000000,0.1730085920,0.2763159044,0.3777081443,0.4343977770,0.5018792760,0.5306666315
1.3093592168,0.2812500000,0.2812500000,0.1566405954,0.2823592424,0.3808704400,0.4434206132,0.4959928801,0.5292245658
1.3535533906,0.2500000000,0.2500000000,0.1398651905,0.2891049459,0.3843298864,0.4476794136,0.4903062120,0.5328149595
1.3977475644,0.2187500000,0.2187500000,0.1228047694,0.2964169285,0.3880047595,0.4468862723,0.4848527609,0.5416555807
1.4419417382,0.1875000000,0.1875000000,0.1055408521,0.3041409194,0.3917954180,0.4423535712,0.4796778994,0.5543818639
1.4861359121,0.1562500000,0.1562500000,0.0881298807,0.3120861116,0.3955778804,0.4356979316,0.4748489247,0.5692998701
1.5303300859,0.1250000000,0.1250000000,0.0706124539,0.3199938875,0.3991947006,0.4281377935,0.4704675934,0.5849806225
1.5745242597,0.0937500000,0.0937500000,0.0530189524,0.3274824358,0.4024446447,0.4205894098,0.4666837580,0.5997883875
1.6187184335,0.0625000000,0.0625000000,0.0353731213,0.3339593398,0.4050785587,0.4139296155,0.4637026455,0.6107002916
1.6629126074,0.0312500000,0.0312500000,0.0176944719,0.3385464955,0.4068199131,0.4091853379,0.4617671188,0.6153626569
1.7071067812,0.0000000000,0.0000000000,0.0000000000,0.3402399130,0.4074324069,0.4074324069,0.4610923088,0.6163723930
